|TrainingName|TotalCost
667|kimball university - etl architecture in depth|1000
668|cognos analysis|750
669|fly to london gatwick|384,19
670|hotel stay in london|897,22000000000003
671|baqmar conference : we are all analysts|25
672|statistiek in de praktijk:theorieboek 3e herziene druk|47,119999999999997
673|book : sas certification prep guide: base programming|107,59999999999999
674|finance conceps. day 6|805
675|book : the data warehouse etl toolkit, by ralph kimball et joe caserta|32,780000000000001
676|book : excel 2003 le guide complet, micro-application|16,989999999999998
677|nederlandse cursussen|472
678|tdwi conference - the premier event for bi and dwh topics|0
679|verhoog uw impact als finacieel manager.|0
680|hotel kosten : dorint hotel|853,59000000000003
681|hotel kosten : dorint hotel|811,25
682|sas advanced certification|1500
683|private course in dutch|880
684|2007 baqmar conference |25
685|gartner-local briefing bi and information |285
686|private course in dutch|880
687|sas advanced programming exam for sas 9|113
688|homestudy as preparation on my certification exam of sas advanced programming for sas(r) 9.|1250
689|dwhing concepts course|250
690|sun certified developer for java 2 platform, standard edition - programming assignment (cx-310-252a)|1595
691|sas macro language|1025
692|i.t. works cpm|490
693|derivative valuation i|805
694|derivative valuation ii|805
695|risk management i|805
696|risk management ii|805
697|dutch course|1200
698|cpm seminars. it works|490
699|webfocus active reports|1500
700|data mining techniques: for marketing, sales, and customer support|29,039999999999999
701|hotel kosten dorint hotel|810,23000000000002
702|dorint hotel : traing q4k|1011,3
703|visio|330
704|a00-204 - sas warehouse architect concepts exam|238
705|french training (treshold 2.2) handbooks|29
706|certification exam of sas advanced programming for sas(r) 9|363
707|introduction to oracle9i: sql self-study cd course|416,24000000000001
708|oracle9i: program with pl/sql self-study cd course|416,24000000000001
709|the complete perl training course (cd-rom) de harvey m. deitel (auteur), paul j. deitel (auteur), tom nieto (auteur) |136,77000000000001
710|unix shell scripting|0
711|the data warehouse toolkit: the complete guide to dimentional modeling|41
712|tha data warehouse lifecycle toolkit: expert methods for designing, developing, and deploying data warehouse.|47,829999999999998
713|self study sas architect concept|125
714|cognos 8 bi report authoring/modeling fasttrack|4375
715|vba self-training|750
716|sas advanced programming|750
717|practical project management|1500
718|cognos 8 bi - metadata modeling - part 1|1875
719|eurostar training bo partner education|230
720|bo training : partner education maidenhead|0
721|middle management 1 program|12200
722|the data warehouse toolkit, ralph kimball|40,979999999999997
723|applying data mining techniques using enterprise miner|300
724|applying data mining techniques using enterprise miner|0
725|sas advanced programming exam|238
726|sas enterprise miner|1050
